Company, Number of apps
br.com, 21255
com.app, 20058
com.andromo, 16617
air.com, 7667
jp.co, 7159
com.newandromo, 6520
com.subsplashconsulting, 5747
com.trainerize, 5419
com.chownow, 4866
uk.co, 4545
io.kodular, 3943
com.fitnessmobileapps, 3923
com.ikeyboard, 3778
kr.co, 3495
com.appswiz, 2887
com.iwaiterapp, 2884
com.phorest, 2808
com.bhappdevelopment, 2414
au.com, 2321
com.gmail, 2305
com.goodbarber, 2248
com.shoutcast, 2178
com.sharefaith, 2080
com.ionicframework, 1990
ie.flipdish, 1968
com.mobincube, 1947
com.jymstudio, 1941
io.pushpay, 1934
com.free074a81ba94cf6951221ca03606d56, 1883
io.ionic, 1875
com.echurchapps, 1790
com.apptegy, 1729
com.cymstudio, 1728
com.appybuilder, 1692
com.radio, 1637
com.magzter, 1611
ru.FoodSoul, 1582
com.subsplash, 1562
com.makeshop, 1555
conversor.conversaotaxasbasico, 1517
com.companyname, 1432
com.my, 1372
com.suolis, 1333
com.happydev4u, 1294
tw.com, 1276
digifit.android, 1269
com.edugorilla, 1248
co.tapcart, 1244
com.apps, 1226
net.ays, 1223
com.exlivinapps, 1206
jp.digitallab, 1188
com.nupuit, 1179
net.jp, 1164
com.jb, 1151
hr.apps, 1150
com.thunkable, 1099
net.andromo, 1084
com.customchurchapps, 1062
com.appsmart, 1049
com.game, 1043
com.Tobit, 1038
com.delivery, 1006
com.linguaapps, 1004
za.co, 997
com.blogspot, 978
com.conduit, 974
com.DefaultCompany, 972
com.nineyi, 957
com.mypthub, 952
id.compro, 940
com.foodbooking, 940
es.bandomovil, 930
nl.sitedish, 911
com.free, 910
com.cook, 908
com.nobexinc, 897
ar.com, 893
com.mobile, 889
co.april2019, 884
tr.com, 870
com.blackboard, 870
com.webradiocast, 865
id.co, 849
com.hbs, 838
co.jarvis, 827
com.do_apps, 822
com.guidebook, 813
com.vet2pet, 805
land.dict, 798
io.cordova, 797
com.phonegap, 794
com.mobeasyapp, 788
com.eduven, 768
co.classplus, 766
com.kkkeyboard, 764
com.otoreport, 762
co.nick, 755
com.appsvision, 752
com.appscroy, 739
